LINHA	FILME	EXAME	MIN	MAX	MEDIA	DP	ITEM	MR	DATA	X1	X2	X3	X4	X5					
1	17TSY32MR	COF NT/NT - DIN. Imediato	0.20	0.26	0.22	0.02	2	J58423	4/2/2020	0.22	0.26	0.20	0.20	0.22					
1	17TSY32MR	COF COR/COR - Din. - Imediato	0.24	0.27	0.26	0.01	1	J58420	4/2/2020	0.27	0.26	0.24	0.25	0.26					
1	17TSY32MR	COF COR/COR - Din. - Imediato	0.26	0.30	0.28	0.01	2	J58423	4/2/2020	0.28	0.27	0.28	0.30	0.26					
1	17TSY32MR	COF NT/NT - Est. Imediato	0.31	0.35	0.33	0.01	1	J58420	4/2/2020	0.32	0.35	0.33	0.31	0.33					
1	17TSY32MR	COF NT/NT - Est. Imediato	0.26	0.44	0.32	0.07	2	J58423	4/2/2020	0.30	0.32	0.26	0.28	0.44					
1	17TSY32MR	COF COR/COR - Est. - Imediato	0.28	0.34	0.32	0.02	1	J58420	4/2/2020	0.32	0.31	0.28	0.34	0.34					
1	17TSY32MR	COF COR/COR - Est. - Imediato	0.32	0.44	0.37	0.04	2	J58423	4/2/2020	0.37	0.35	0.44	0.36	0.32					
1	17TSY32MR	Força de Tração DM	145.00	157.00	152.33	6.43	1	J58420	4/2/2020	157.00	145.00	155.00							
1	17TSY32MR	Força de Tração DT	254.00	306.00	275.67	27.06	1	J58420	4/2/2020	254.00	306.00	267.00							
1	17TSY32MR	Alongamento DM	211.00	216.00	213.00	2.65	1	J58420	4/2/2020	212.00	211.00	216.00							
1	17TSY32MR	Alongamento DT	37.00	54.00	44.67	8.62	1	J58420	4/2/2020	37.00	54.00	43.00							
1	17TSY32MR	Módulo Elástico DM	1158.00	1405.00	1251.67	133.87	1	J58420	4/2/2020	1405.00	1158.00	1192.00							
1	17TSY32MR	Módulo Elástico DT	2063.00	3163.00	2529.00	568.92	1	J58420	4/2/2020	3163.00	2063.00	2361.00							
1	17TSY32MR	Estabilidade Dimensional DM	5.00	5.00	5.00	0.00	1	J58420	4/2/2020	5.00									
1	17TSY32MR	Estabilidade Dimensional DT	3.00	3.00	3.00	0.00	1	J58420	4/2/2020	3.00									
1	17TSY32MR	Haze/difusão	1.40	1.70	1.53	0.15	1	J58420	4/2/2020	1.50	1.40	1.70							
1	17TSY32MR	Força de Selagem NT/NT	317.00	461.00	382.80	68.79	1	J58420	4/2/2020	461.00	366.00	321.00	317.00	449.00					
1	17TSY32MR	Força de Selagem NT/NT	324.00	444.00	387.20	46.90	2	J58423	4/2/2020	379.00	421.00	368.00	324.00	444.00					
1	17TSY32MR	Força de selagem COR/COR	419.00	523.00	477.80	40.16	1	J58420	4/2/2020	459.00	419.00	488.00	500.00	523.00					
1	17TSY32MR	Força de selagem COR/COR	399.00	578.00	506.40	84.75	2	J58423	4/2/2020	578.00	552.00	431.00	572.00	399.00					
1	17TSY32MR	TIS NT/NT	104.20	104.20	104.20	0.00	1	J58420	4/2/2020	104.20									
1	17TSY32MR	TIS COR/COR	113.60	113.60	113.60	0.00	1	J58420	4/2/2020	113.60									
1	17TSY32MR	Tensão superficial CORONA LO	40.00	40.00	40.00	0.00	1	J58420	4/2/2020	40.00									
1	17TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	2	J58421	4/2/2020	38.00									
1	17TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	3	J58422	4/2/2020	38.00									
1	17TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	4	J58423	4/2/2020	38.00									
1	17TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	5	J58424	4/2/2020	38.00									
1	17TSY32MR	Tensão superficial CORONA LM	40.00	40.00	40.00	0.00	1	J58420	4/2/2020	40.00									
1	17TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	2	J58421	4/2/2020	38.00									
1	17TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	3	J58422	4/2/2020	38.00									
1	17TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	4	J58423	4/2/2020	38.00									
1	17TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	5	J58424	4/2/2020	38.00									
1	30TFC30MR	Espessura	29.90	30.10	29.98	0.08	1	J58416	4/2/2020	30.00	29.90	30.00	30.10	29.90					
1	30TFC30MR	Espessura	30.00	30.70	30.34	0.33	2	J58417	4/2/2020	30.60	30.40	30.70	30.00	30.00					
1	30TFC30MR	Espessura	29.40	30.60	30.00	0.55	3	J58418	4/2/2020	30.50	30.00	29.40	29.50	30.60					
1	30TFC30MR	Espessura	30.50	30.80	30.68	0.13	4	J58419	4/2/2020	30.70	30.50	30.80	30.80	30.60					
2	25TSBL8212MR-L2	Tratamento Superficial CORONA	46.00	46.00	46.00	0.00	1	C62066	4/2/2020	46.00	46.00	46.00	46.00	46.00					
2	25TSBL8212MR-L2	Tratamento Superficial CORONA	46.00	46.00	46.00	0.00	2	C62068	4/2/2020	46.00	46.00	46.00	46.00	46.00					
2	25TSBL8212MR-L2	Tratamento Superficial CORONA	46.00	46.00	46.00	0.00	3	C62069	4/2/2020	46.00	46.00	46.00	46.00	46.00					
2	25TSBL8212MR-L2	Tratamento Superficial CORONA	46.00	46.00	46.00	0.00	4	C62070	4/2/2020	46.00	46.00	46.00	46.00	46.00					
2	25TSBL8212MR-L2	Tratamento Superficial CORONA	46.00	46.00	46.00	0.00	5	C62071	4/2/2020	46.00	46.00	46.00	46.00	46.00					
2	25TSBL8212MR-L2	Tratamento Superficial CORONA	46.00	46.00	46.00	0.00	6	C62072	4/2/2020	46.00	46.00	46.00	46.00	46.00					
2	25TSBL8212MR-L2	Espessura	24.30	24.30	24.30	0.00	1	C62066	4/2/2020	24.30									
2	25TSBL8212MR-L2	Espessura	23.60	24.20	23.83	0.26	2	C62068	4/2/2020	24.20	23.60	23.80	23.70						
2	25TSBL8212MR-L2	Espessura	23.40	24.40	23.82	0.45	3	C62069	4/2/2020	23.50	23.40	24.40	24.20	23.60					
2	25TSBL8212MR-L2	Espessura	23.40	24.60	24.12	0.44	4	C62070	4/2/2020	24.20	24.60	24.30	23.40	24.10					
2	25TSBL8212MR-L2	Espessura	24.10	24.90	24.42	0.29	5	C62071	4/2/2020	24.30	24.10	24.90	24.40	24.40					
2	25TSBL8212MR-L2	Espessura	23.60	24.00	23.82	0.18	6	C62072	4/2/2020	23.80	23.70	24.00	24.00	23.60					
2	25TSBL8212MR-L2	Gramatura	22.00	22.00	22.00	0.00	1	C62066	4/2/2020	22.00									
2	25TSBL8212MR-L2	Rendimento	45.50	45.50	45.50	0.00	1	C62066	4/2/2020	45.50									
2	25TSBL8212MR-L2	Densidade	0.91	0.91	0.91	0.00	1	C62066	4/2/2020	0.91									
2	25TSBL8212MR-L2	COF NT/NT - DIN. Imediato	0.20	0.37	0.26	0.07	1	C62066	4/2/2020	0.31	0.22	0.20	0.22	0.37					
2	25TSBL8212MR-L2	COF NT/NT - Est. Imediato	0.28	0.59	0.41	0.11	1	C62066	4/2/2020	0.43	0.38	0.28	0.59	0.37					
2	25TSBL8212MR-L2	COF NT/NT - Din.	0.32	0.32	0.32	0.00	1	C62066	4/2/2020	0.32									
2	25TSBL8212MR-L2	COF  NT/NT - Est.	0.43	0.43	0.43	0.00	1	C62066	4/2/2020	0.43									
2	25TSBL8212MR-L2	Força de Tração DM	141.00	154.00	149.00	7.00	1	C62066	4/2/2020	154.00	152.00	141.00							
2	25TSBL8212MR-L2	Força de Tração DT	276.00	293.00	287.00	9.54	1	C62066	4/2/2020	292.00	276.00	293.00							
2	25TSBL8212MR-L2	Alongamento DM	212.00	243.00	228.00	15.52	1	C62066	4/2/2020	229.00	243.00	212.00							
2	25TSBL8212MR-L2	Alongamento DT	47.00	59.00	54.33	6.43	1	C62066	4/2/2020	57.00	47.00	59.00							
2	25TSBL8212MR-L2	Módulo Elástico DM	1063.00	1320.00	1230.33	145.04	1	C62066	4/2/2020	1308.00	1320.00	1063.00							
2	25TSBL8212MR-L2	Módulo Elástico DT	2624.00	2818.00	2730.33	98.34	1	C62066	4/2/2020	2749.00	2624.00	2818.00							
2	25TSBL8212MR-L2	Estabilidade Dimensional DM	5.00	5.00	5.00	0.00	1	C62066	4/2/2020	5.00									
2	25TSBL8212MR-L2	Estabilidade Dimensional DT	2.00	2.00	2.00	0.00	1	C62066	4/2/2020	2.00									
2	25TSBL8212MR-L2	Haze/difusão	1.70	1.80	1.77	0.06	1	C62066	4/2/2020	1.80	1.80	1.70							
2	25TSBL8212MR-L2	Força de Selagem NT/NT	316.00	681.00	505.80	147.30	1	C62066	4/2/2020	316.00	499.00	616.00	681.00	417.00					
2	25TSBL8212MR-L2	TIS NT/NT	72.60	72.60	72.60	0.00	1	C62066	4/2/2020	72.60									
2	25TSBL8212MR-L2	COF NT/NT - din - 24h	0.31	0.31	0.31	0.00	1	C62066	4/2/2020	0.31									
2	25TSBL8212MR-L2	COF NT/NT - est. - 24h	0.43	0.43	0.43	0.00	1	C62066	4/2/2020	0.43									
2	25TSBL8212MR-L2	Tensão superficial CORONA LO	44.00	44.00	44.00	0.00	1	C62066	4/2/2020	44.00									
2	25TSBL8212MR-L2	Tensão superficial CORONA LO	42.00	42.00	42.00	0.00	2	C62068	4/2/2020	42.00									
2	25TSBL8212MR-L2	Tensão superficial CORONA LO	44.00	44.00	44.00	0.00	3	C62069	4/2/2020	44.00									
2	25TSBL8212MR-L2	Tensão superficial CORONA LO	44.00	44.00	44.00	0.00	4	C62070	4/2/2020	44.00									
2	25TSBL8212MR-L2	Tensão superficial CORONA LO	44.00	44.00	44.00	0.00	5	C62071	4/2/2020	44.00									
2	25TSBL8212MR-L2	Tensão superficial CORONA LO	44.00	44.00	44.00	0.00	6	C62072	4/2/2020	44.00									
2	25TSBL8212MR-L2	Tensão superficial CORONA LM	44.00	44.00	44.00	0.00	1	C62066	4/2/2020	44.00									
2	25TSBL8212MR-L2	Tensão superficial CORONA LM	44.00	44.00	44.00	0.00	2	C62068	4/2/2020	44.00									
2	25TSBL8212MR-L2	Tensão superficial CORONA LM	44.00	44.00	44.00	0.00	3	C62069	4/2/2020	44.00									
2	25TSBL8212MR-L2	Tensão superficial CORONA LM	44.00	44.00	44.00	0.00	4	C62070	4/2/2020	44.00									
2	25TSBL8212MR-L2	Tensão superficial CORONA LM	44.00	44.00	44.00	0.00	5	C62071	4/2/2020	44.00									
2	25TSBL8212MR-L2	Tensão superficial CORONA LM	44.00	44.00	44.00	0.00	6	C62072	4/2/2020	44.00									
2	25TSBL8212MR-L2	Tensão superf. COR prod final	42.00	42.00	42.00	0.00	1	C62066	4/2/2020	42.00									
2	25TSY32MR-L2	Tratamento Superficial CORONA	44.00	44.00	44.00	0.00	1	C62073	4/2/2020	44.00	44.00	44.00	44.00	44.00					
2	25TSY32MR-L2	Tratamento Superficial CORONA	44.00	44.00	44.00	0.00	2	C62074	4/2/2020	44.00	44.00	44.00	44.00	44.00					
2	25TSY32MR-L2	Espessura	24.00	24.80	24.24	0.36	1	C62073	4/2/2020	24.80	24.00	24.00	24.00	24.40					
2	25TSY32MR-L2	Espessura	24.30	25.10	24.80	0.30	2	C62074	4/2/2020	24.80	24.30	24.90	24.90	25.10					
2	25TSY32MR-L2	Gramatura	22.00	22.00	22.00	0.00	1	C62073	4/2/2020	22.00									
2	25TSY32MR-L2	Rendimento	45.40	45.40	45.40	0.00	1	C62073	4/2/2020	45.40									
2	25TSY32MR-L2	Densidade	0.91	0.91	0.91	0.00	1	C62073	4/2/2020	0.91									
2	25TSY32MR-L2	COF NT/NT - DIN. Imediato	0.20	0.25	0.23	0.02	1	C62073	4/2/2020	0.22	0.23	0.20	0.25	0.25					
2	25TSY32MR-L2	COF COR/COR - Din. - Imediato	0.30	0.32	0.31	0.01	1	C62073	4/2/2020	0.30	0.32	0.31	0.31	0.31					
2	25TSY32MR-L2	COF NT/NT - Est. Imediato	0.28	0.43	0.36	0.07	1	C62073	4/2/2020	0.30	0.28	0.42	0.43	0.38					
2	25TSY32MR-L2	COF COR/COR - Est. - Imediato	0.36	0.55	0.44	0.08	1	C62073	4/2/2020	0.55	0.49	0.36	0.42	0.37					
2	25TSY32MR-L2	COF NT/NT - Din.	0.20	0.20	0.20	0.00	1	C62074	4/2/2020	0.20	0.20	0.20							
2	25TSY32MR-L2	COF COR/COR - Din.	0.20	0.21	0.20	0.01	1	C62074	4/2/2020	0.21	0.20	0.20							
2	25TSY32MR-L2	COF  NT/NT - Est.	0.21	0.23	0.22	0.01	1	C62074	4/2/2020	0.23	0.21	0.21							
2	25TSY32MR-L2	COF COR/COR - Est.	0.23	0.25	0.24	0.01	1	C62074	4/2/2020	0.23	0.25	0.23							
2	25TSY32MR-L2	Força de Tração DM	143.00	155.00	149.00	6.00	1	C62073	4/2/2020	155.00	143.00	149.00							
2	25TSY32MR-L2	Força de Tração DT	240.00	260.00	249.67	10.02	1	C62073	4/2/2020	249.00	260.00	240.00							
2	25TSY32MR-L2	Alongamento DM	191.00	240.00	217.00	24.64	1	C62073	4/2/2020	220.00	191.00	240.00							
2	25TSY32MR-L2	Alongamento DT	36.00	41.00	38.33	2.52	1	C62073	4/2/2020	38.00	41.00	36.00							
2	25TSY32MR-L2	Módulo Elástico DM	1545.00	1682.00	1631.00	74.91	1	C62073	4/2/2020	1682.00	1666.00	1545.00							
2	25TSY32MR-L2	Módulo Elástico DT	2821.00	2932.00	2895.00	64.09	1	C62073	4/2/2020	2932.00	2821.00	2932.00							
2	25TSY32MR-L2	Estabilidade Dimensional DM	5.00	5.00	5.00	0.00	1	C62073	4/2/2020	5.00	5.00	5.00	5.00	5.00					
2	25TSY32MR-L2	Estabilidade Dimensional DT	3.00	3.00	3.00	0.00	1	C62073	4/2/2020	3.00	3.00	3.00	3.00	3.00					
2	25TSY32MR-L2	Haze/difusão	1.70	1.80	1.77	0.06	1	C62073	4/2/2020	1.80	1.70	1.80							
2	25TSY32MR-L2	Força de Selagem NT/NT	423.00	706.00	541.40	110.38	1	C62073	4/2/2020	706.00	423.00	593.00	502.00	483.00					
2	25TSY32MR-L2	Força de selagem COR/COR	352.00	723.00	555.80	149.18	1	C62073	4/2/2020	561.00	723.00	474.00	352.00	669.00					
2	25TSY32MR-L2	TIS NT/NT	104.90	104.90	104.90	0.00	1	C62073	4/2/2020	104.90									
2	25TSY32MR-L2	TIS COR/COR	117.70	117.70	117.70	0.00	1	C62073	4/2/2020	117.70									
2	25TSY32MR-L2	COF NT/NT - din - 24h	0.20	0.20	0.20	0.00	1	C62074	4/2/2020	0.20	0.20	0.20							
2	25TSY32MR-L2	COF NT/NT - est. - 24h	0.21	0.23	0.22	0.01	1	C62074	4/2/2020	0.23	0.21	0.21							
2	25TSY32MR-L2	COF COR/COR - din. - 24h	0.20	0.21	0.20	0.01	1	C62074	4/2/2020	0.21	0.20	0.20							
2	25TSY32MR-L2	COF COR/COR - est. - 24h	0.23	0.25	0.24	0.01	1	C62074	4/2/2020	0.23	0.25	0.23							
2	25TSY32MR-L2	Tensão superficial CORONA LO	42.00	42.00	42.00	0.00	1	C62073	4/2/2020	42.00									
2	25TSY32MR-L2	Tensão superficial CORONA LO	42.00	42.00	42.00	0.00	2	C62074	4/2/2020	42.00									
2	25TSY32MR-L2	Tensão superficial CORONA LM	42.00	42.00	42.00	0.00	1	C62073	4/2/2020	42.00									
2	25TSY32MR-L2	Tensão superficial CORONA LM	42.00	42.00	42.00	0.00	2	C62074	4/2/2020	42.00									
2	25TSY32MR-L2	Tensão superf. COR prod final	40.00	40.00	40.00	0.00	1	C62074	4/2/2020	40.00									
2	30TSY32MR-L2	Tratamento Superficial CORONA	44.00	44.00	44.00	0.00	1	C62061	4/2/2020	44.00	44.00	44.00	44.00	44.00					
2	30TSY32MR-L2	Tratamento Superficial CORONA	44.00	44.00	44.00	0.00	2	C62062	4/2/2020	44.00	44.00	44.00	44.00	44.00					
2	30TSY32MR-L2	Tratamento Superficial CORONA	44.00	44.00	44.00	0.00	3	C62063	4/2/2020	44.00	44.00	44.00	44.00	44.00					
2	30TSY32MR-L2	Tratamento Superficial CORONA	44.00	44.00	44.00	0.00	4	C62064	4/2/2020	44.00	44.00	44.00	44.00	44.00					
2	30TSY32MR-L2	Tratamento Superficial CORONA	44.00	44.00	44.00	0.00	5	C62065	4/2/2020	44.00	44.00	44.00	44.00	44.00					
2	30TSY32MR-L2	Espessura	29.40	29.80	29.50	0.17	1	C62061	4/2/2020	29.40	29.80	29.40	29.50	29.40					
2	30TSY32MR-L2	Espessura	28.70	30.00	29.28	0.48	2	C62062	4/2/2020	29.40	28.70	29.10	29.20	30.00					
2	30TSY32MR-L2	Espessura	28.40	29.90	29.22	0.56	3	C62063	4/2/2020	29.50	29.00	28.40	29.90	29.30					
2	30TSY32MR-L2	Espessura	29.35	30.50	30.15	0.46	4	C62064	4/2/2020	30.30	30.50	29.35	30.20	30.40					
2	30TSY32MR-L2	Espessura	27.60	30.40	29.40	1.07	5	C62065	4/2/2020	30.00	30.40	29.50	27.60	29.50					
2	30TSY32MR-L2	COF NT/NT - DIN. Imediato	0.24	0.27	0.25	0.01	1	C62061	4/2/2020	0.25	0.25	0.27	0.24	0.24					
2	30TSY32MR-L2	COF COR/COR - Din. - Imediato	0.26	0.28	0.27	0.01	1	C62061	4/2/2020	0.28	0.26	0.27	0.27	0.27					
2	30TSY32MR-L2	COF NT/NT - Est. Imediato	0.38	0.45	0.41	0.03	1	C62061	4/2/2020	0.45	0.45	0.38	0.39	0.40					
2	30TSY32MR-L2	COF COR/COR - Est. - Imediato	0.41	0.43	0.42	0.01	1	C62061	4/2/2020	0.43	0.42	0.43	0.43	0.41					
2	30TSY32MR-L2	Força de Tração DM	139.00	155.00	145.33	8.50	1	C62061	4/2/2020	142.00	139.00	155.00							
2	30TSY32MR-L2	Força de Tração DT	252.00	295.00	280.67	24.83	1	C62061	4/2/2020	295.00	295.00	252.00							
2	30TSY32MR-L2	Alongamento DM	197.00	314.00	241.00	63.66	1	C62061	4/2/2020	212.00	197.00	314.00							
2	30TSY32MR-L2	Alongamento DT	38.00	61.00	52.33	12.50	1	C62061	4/2/2020	61.00	58.00	38.00							
2	30TSY32MR-L2	Força de Selagem NT/NT	471.00	555.00	517.60	35.05	1	C62061	4/2/2020	471.00	499.00	514.00	549.00	555.00					
2	30TSY32MR-L2	Força de selagem COR/COR	324.00	452.00	394.00	51.61	1	C62061	4/2/2020	452.00	412.00	324.00	423.00	359.00					
2	30TSY32MR-L2	Tensão superficial CORONA LO	42.00	42.00	42.00	0.00	1	C62061	4/2/2020	42.00									
2	30TSY32MR-L2	Tensão superficial CORONA LO	42.00	42.00	42.00	0.00	2	C62062	4/2/2020	42.00									
2	30TSY32MR-L2	Tensão superficial CORONA LO	42.00	42.00	42.00	0.00	3	C62063	4/2/2020	42.00									
2	30TSY32MR-L2	Tensão superficial CORONA LO	42.00	42.00	42.00	0.00	4	C62064	4/2/2020	42.00									
2	30TSY32MR-L2	Tensão superficial CORONA LO	42.00	42.00	42.00	0.00	5	C62065	4/2/2020	42.00									
2	30TSY32MR-L2	Tensão superficial CORONA LM	42.00	42.00	42.00	0.00	1	C62061	4/2/2020	42.00									
2	30TSY32MR-L2	Tensão superficial CORONA LM	42.00	42.00	42.00	0.00	2	C62062	4/2/2020	42.00									
2	30TSY32MR-L2	Tensão superficial CORONA LM	42.00	42.00	42.00	0.00	3	C62063	4/2/2020	42.00									
2	30TSY32MR-L2	Tensão superficial CORONA LM	42.00	42.00	42.00	0.00	4	C62064	4/2/2020	42.00									
2	30TSY32MR-L2	Tensão superficial CORONA LM	42.00	42.00	42.00	0.00	5	C62065	4/2/2020	42.00									
3	20TSB21MR-L3	Tratamento Superficial CHAMA	46.00	46.00	46.00	0.00	1	I50933	4/2/2020	46.00	46.00	46.00	46.00	46.00					
3	20TSB21MR-L3	Tratamento Superficial CHAMA	46.00	46.00	46.00	0.00	2	I50934	4/2/2020	46.00	46.00	46.00	46.00	46.00					
3	20TSB21MR-L3	Espessura	19.80	20.30	20.00	0.21	1	I50933	4/2/2020	20.00	20.10	20.30	19.80	19.80					
3	20TSB21MR-L3	Espessura	19.90	20.40	20.18	0.18	2	I50934	4/2/2020	20.20	20.20	19.90	20.20	20.40					
3	20TSB21MR-L3	Gramatura	18.20	18.20	18.20	0.00	1	I50933	4/2/2020	18.20									
3	20TSB21MR-L3	Rendimento	54.90	54.90	54.90	0.00	1	I50933	4/2/2020	54.90									
3	20TSB21MR-L3	Densidade	0.91	0.91	0.91	0.00	1	I50933	4/2/2020	0.91									
3	20TSB21MR-L3	COF NT/NT - DIN. Imediato	0.25	0.36	0.31	0.04	1	I50933	4/2/2020	0.31	0.36	0.30	0.31	0.25					
3	20TSB21MR-L3	COF NT/NT - Est. Imediato	0.33	0.49	0.39	0.06	1	I50933	4/2/2020	0.41	0.49	0.35	0.38	0.33					
3	20TSB21MR-L3	Força de Tração DM	132.00	157.00	146.33	12.90	1	I50933	4/2/2020	150.00	132.00	157.00							
3	20TSB21MR-L3	Força de Tração DT	252.00	274.00	266.33	12.42	1	I50933	4/2/2020	273.00	274.00	252.00							
3	20TSB21MR-L3	Alongamento DM	147.00	210.00	183.00	32.45	1	I50933	4/2/2020	210.00	147.00	192.00							
3	20TSB21MR-L3	Alongamento DT	30.00	38.00	34.33	4.04	1	I50933	4/2/2020	35.00	38.00	30.00							
3	20TSB21MR-L3	Módulo Elástico DM	1645.00	1682.00	1663.00	18.52	1	I50933	4/2/2020	1682.00	1645.00	1662.00							
3	20TSB21MR-L3	Módulo Elástico DT	2821.00	3254.00	2998.33	226.88	1	I50933	4/2/2020	2821.00	3254.00	2920.00							
3	20TSB21MR-L3	Estabilidade Dimensional DM	5.00	5.00	5.00	0.00	1	I50933	4/2/2020	5.00	5.00	5.00	5.00	5.00					
3	20TSB21MR-L3	Estabilidade Dimensional DT	3.00	3.00	3.00	0.00	1	I50933	4/2/2020	3.00	3.00	3.00	3.00	3.00					
3	20TSB21MR-L3	Haze/difusão	1.50	1.60	1.53	0.06	1	I50933	4/2/2020	1.60	1.50	1.50							
3	20TSB21MR-L3	Força de Selagem NT/NT	398.00	462.00	421.80	27.95	1	I50933	4/2/2020	407.00	402.00	398.00	440.00	462.00					
3	20TSB21MR-L3	TIS NT/NT	103.80	103.80	103.80	0.00	1	I50933	4/2/2020	103.80									
3	20TSB21MR-L3	Tensão superficial CHAMA LO	44.00	44.00	44.00	0.00	1	I50933	4/2/2020	44.00									
3	20TSB21MR-L3	Tensão superficial CHAMA LO	44.00	44.00	44.00	0.00	2	I50934	4/2/2020	44.00									
3	20TSB21MR-L3	Tensão superficial CHAMA LM	42.00	42.00	42.00	0.00	1	I50933	4/2/2020	42.00									
3	20TSB21MR-L3	Tensão superficial CHAMA LM	42.00	42.00	42.00	0.00	2	I50934	4/2/2020	42.00									
3	50TPYPSL03MR-L3	Tratamento Superficial CHAMA	46.00	46.00	46.00	0.00	1	I50926	4/2/2020	46.00	46.00	46.00	46.00	46.00					
3	50TPYPSL03MR-L3	Tratamento Superficial CHAMA	46.00	46.00	46.00	0.00	2	I50927	4/2/2020	46.00	46.00	46.00	46.00	46.00					
3	50TPYPSL03MR-L3	Tratamento Superficial CHAMA	46.00	46.00	46.00	0.00	3	I50928	4/2/2020	46.00	46.00	46.00	46.00	46.00					
3	50TPYPSL03MR-L3	Tratamento Superficial CHAMA	46.00	46.00	46.00	0.00	4	I50929	4/2/2020	46.00	46.00	46.00	46.00	46.00					
3	50TPYPSL03MR-L3	Tratamento Superficial CHAMA	46.00	46.00	46.00	0.00	5	I50930	4/2/2020	46.00	46.00	46.00	46.00	46.00					
3	50TPYPSL03MR-L3	Tratamento Superficial CHAMA	46.00	46.00	46.00	0.00	6	I50931	4/2/2020	46.00	46.00	46.00	46.00	46.00					
3	50TPYPSL03MR-L3	Tratamento Superficial CHAMA	46.00	46.00	46.00	0.00	7	I50932	4/2/2020	46.00	46.00	46.00	46.00	46.00					
3	50TPYPSL03MR-L3	Tratamento Superficial CORONA	44.00	44.00	44.00	0.00	1	I50926	4/2/2020	44.00	44.00	44.00	44.00	44.00					
3	50TPYPSL03MR-L3	Tratamento Superficial CORONA	44.00	44.00	44.00	0.00	2	I50927	4/2/2020	44.00	44.00	44.00	44.00	44.00					
3	50TPYPSL03MR-L3	Tratamento Superficial CORONA	44.00	44.00	44.00	0.00	3	I50928	4/2/2020	44.00	44.00	44.00	44.00	44.00					
3	50TPYPSL03MR-L3	Tratamento Superficial CORONA	44.00	44.00	44.00	0.00	4	I50929	4/2/2020	44.00	44.00	44.00	44.00	44.00					
3	50TPYPSL03MR-L3	Tratamento Superficial CORONA	44.00	44.00	44.00	0.00	5	I50930	4/2/2020	44.00	44.00	44.00	44.00	44.00					
3	50TPYPSL03MR-L3	Tratamento Superficial CORONA	44.00	44.00	44.00	0.00	6	I50931	4/2/2020	44.00	44.00	44.00	44.00	44.00					
3	50TPYPSL03MR-L3	Tratamento Superficial CORONA	44.00	44.00	44.00	0.00	7	I50932	4/2/2020	44.00	44.00	44.00	44.00	44.00					
3	50TPYPSL03MR-L3	Espessura	49.50	51.20	50.16	0.66	1	I50926	4/2/2020	49.70	49.50	50.10	50.30	51.20					
3	50TPYPSL03MR-L3	Espessura	50.40	51.20	50.78	0.32	2	I50927	4/2/2020	50.60	51.20	50.70	50.40	51.00					
3	50TPYPSL03MR-L3	Espessura	49.80	50.90	50.42	0.40	3	I50928	4/2/2020	49.80	50.50	50.50	50.40	50.90					
3	50TPYPSL03MR-L3	Espessura	49.40	51.20	50.24	0.67	4	I50929	4/2/2020	51.20	49.40	49.90	50.50	50.20					
3	50TPYPSL03MR-L3	Espessura	49.40	51.70	50.36	0.86	5	I50930	4/2/2020	49.90	49.40	50.40	50.40	51.70					
