LINHA	FILME	EXAME	MIN	MAX	MEDIA	DP	ITEM	MR	DATA	X1	X2	X3	X4	X5										
1	15TSY32MR	Gramatura	13.60	13.60	13.60	0.00	6	J54214	2/21/2019	13.60														
1	15TSY32MR	Gramatura	13.60	13.60	13.60	0.00	7	J54215	2/21/2019	13.60														
1	15TSY32MR	Gramatura	13.40	13.40	13.40	0.00	8	J54216	2/21/2019	13.40														
1	15TSY32MR	Gramatura	13.80	13.80	13.80	0.00	9	J54218	2/21/2019	13.80														
1	15TSY32MR	Gramatura	13.60	13.60	13.60	0.00	10	J54219	2/21/2019	13.60														
1	15TSY32MR	Gramatura	13.70	13.70	13.70	0.00	11	J54220	2/21/2019	13.70														
1	15TSY32MR	Gramatura	13.70	13.70	13.70	0.00	12	J54221	2/21/2019	13.70														
1	15TSY32MR	Gramatura	13.30	13.30	13.30	0.00	13	J54222	2/21/2019	13.30														
1	15TSY32MR	Gramatura	13.50	13.50	13.50	0.00	14	J54223	2/21/2019	13.50														
1	15TSY32MR	Gramatura	13.40	13.40	13.40	0.00	15	J54224	2/21/2019	13.40														
1	15TSY32MR	Gramatura	13.20	13.20	13.20	0.00	16	J54225	2/22/2019	13.20														
1	15TSY32MR	Rendimento	74.10	74.10	74.10	0.00	1	J54207	2/20/2019	74.10														
1	15TSY32MR	Rendimento	73.00	73.00	73.00	0.00	2	J54213	2/21/2019	73.00														
1	15TSY32MR	Densidade	0.91	0.91	0.91	0.00	1	J54207	2/20/2019	0.91														
1	15TSY32MR	Densidade	0.91	0.91	0.91	0.00	2	J54213	2/21/2019	0.91														
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.20	0.24	0.22	0.02	1	J54207	2/20/2019	0.24	0.22	0.20	0.24	0.22										
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.24	0.25	0.24	0.01	2	J54209	2/20/2019	0.25	0.24	0.25	0.24	0.24										
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.21	0.25	0.23	0.01	3	J54213	2/21/2019	0.25	0.23	0.23	0.21	0.22										
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.19	0.26	0.22	0.03	4	J54216	2/21/2019	0.23	0.20	0.19	0.22	0.26										
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.22	0.27	0.24	0.02	5	J54220	2/21/2019	0.25	0.22	0.23	0.22	0.27										
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.22	0.25	0.24	0.01	6	J54222	2/21/2019	0.24	0.24	0.24	0.22	0.25										
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.24	0.26	0.25	0.01	1	J54207	2/20/2019	0.26	0.26	0.26	0.24	0.25										
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.26	0.29	0.28	0.01	2	J54209	2/20/2019	0.26	0.29	0.28	0.27	0.29										
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.28	0.30	0.29	0.01	3	J54213	2/21/2019	0.29	0.30	0.30	0.28	0.29										
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.25	0.29	0.27	0.02	4	J54216	2/21/2019	0.29	0.25	0.25	0.27	0.29										
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.28	0.33	0.30	0.02	5	J54220	2/21/2019	0.33	0.30	0.29	0.28	0.31										
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.29	0.59	0.37	0.12	6	J54222	2/21/2019	0.36	0.29	0.30	0.59	0.32										
1	15TSY32MR	COF NT/NT - Est. Imediato	0.25	0.33	0.29	0.03	1	J54207	2/20/2019	0.33	0.29	0.25	0.29	0.27										
1	15TSY32MR	COF NT/NT - Est. Imediato	0.35	0.35	0.35	0.00	2	J54209	2/20/2019	0.35														
1	15TSY32MR	COF NT/NT - Est. Imediato	0.31	0.37	0.34	0.02	3	J54213	2/21/2019	0.34	0.34	0.37	0.32	0.31										
1	15TSY32MR	COF NT/NT - Est. Imediato	0.23	0.67	0.34	0.19	4	J54216	2/21/2019	0.27	0.23	0.24	0.67	0.30										
1	15TSY32MR	COF NT/NT - Est. Imediato	0.28	0.40	0.33	0.05	5	J54220	2/21/2019	0.40	0.29	0.28	0.31	0.38										
1	15TSY32MR	COF NT/NT - Est. Imediato	0.34	0.34	0.34	0.00	6	J54222	2/21/2019	0.34														
1	15TSY32MR	COF COR/COR - Est. - Imediato	0.29	0.33	0.31	0.02	1	J54207	2/20/2019	0.33	0.29	0.29	0.31											
1	15TSY32MR	COF COR/COR - Est. - Imediato	0.35	0.35	0.35	0.00	2	J54209	2/20/2019	0.35														
1	15TSY32MR	COF COR/COR - Est. - Imediato	0.35	0.39	0.38	0.02	3	J54213	2/21/2019	0.39	0.35	0.38	0.38	0.39										
1	15TSY32MR	COF COR/COR - Est. - Imediato	0.28	0.35	0.32	0.03	4	J54216	2/21/2019	0.35	0.28	0.30	0.33	0.33										
1	15TSY32MR	COF COR/COR - Est. - Imediato	0.36	0.40	0.38	0.02	5	J54220	2/21/2019	0.40	0.39	0.36	0.36	0.39										
1	15TSY32MR	COF COR/COR - Est. - Imediato	0.40	0.40	0.40	0.00	6	J54222	2/21/2019	0.40														
1	15TSY32MR	COF NT/NT - Din.	0.20	0.20	0.20	0.00	1	J54207	2/20/2019	0.20														
1	15TSY32MR	COF NT/NT - Din.	0.20	0.21	0.21	0.01	2	J54216	2/21/2019	0.20	0.21	0.21												
1	15TSY32MR	COF COR/COR - Din.	0.20	0.20	0.20	0.00	1	J54207	2/20/2019	0.20														
1	15TSY32MR	COF COR/COR - Din.	0.20	0.26	0.23	0.03	2	J54216	2/21/2019	0.20	0.23	0.26												
1	15TSY32MR	COF  NT/NT - Est.	0.20	0.29	0.23	0.05	1	J54207	2/20/2019	0.29	0.20	0.21												
1	15TSY32MR	COF  NT/NT - Est.	0.25	0.27	0.26	0.01	2	J54216	2/21/2019	0.25	0.26	0.27												
1	15TSY32MR	COF COR/COR - Est.	0.19	0.20	0.19	0.01	1	J54207	2/20/2019	0.19	0.19	0.20												
1	15TSY32MR	COF COR/COR - Est.	0.28	0.29	0.28	0.01	2	J54216	2/21/2019	0.28	0.28	0.29												
1	15TSY32MR	Força de Tração DM	141.00	145.00	143.67	2.31	1	J54207	2/20/2019	145.00	145.00	141.00												
1	15TSY32MR	Força de Tração DM	127.00	143.00	135.00	8.00	2	J54213	2/21/2019	127.00	143.00	135.00												
1	15TSY32MR	Força de Tração DT	241.00	272.00	253.33	16.44	1	J54207	2/20/2019	247.00	272.00	241.00												
1	15TSY32MR	Força de Tração DT	231.00	242.00	235.33	5.86	2	J54213	2/21/2019	233.00	242.00	231.00												
1	15TSY32MR	Alongamento DM	168.00	179.00	173.50	7.78	1	J54207	2/20/2019	168.00	179.00													
1	15TSY32MR	Alongamento DM	146.00	192.00	168.00	23.07	2	J54213	2/21/2019	146.00	192.00	166.00												
1	15TSY32MR	Alongamento DT	49.00	54.00	50.67	2.89	1	J54207	2/20/2019	49.00	54.00	49.00												
1	15TSY32MR	Alongamento DT	38.00	48.00	42.00	5.29	2	J54213	2/21/2019	40.00	48.00	38.00												
1	15TSY32MR	Módulo Elástico DM	1369.00	1619.00	1465.67	134.29	1	J54207	2/20/2019	1409.00	1619.00	1369.00												
1	15TSY32MR	Módulo Elástico DM	1379.00	1490.00	1432.67	55.59	2	J54213	2/21/2019	1429.00	1379.00	1490.00												
1	15TSY32MR	Módulo Elástico DT	2836.00	3068.00	2920.33	128.31	1	J54207	2/20/2019	2857.00	2836.00	3068.00												
1	15TSY32MR	Módulo Elástico DT	2160.00	2672.00	2423.33	256.31	2	J54213	2/21/2019	2438.00	2160.00	2672.00												
1	15TSY32MR	Estabilidade Dimensional DM	5.00	5.00	5.00	0.00	1	J54207	2/20/2019	5.00	5.00	5.00												
1	15TSY32MR	Estabilidade Dimensional DM	5.00	5.00	5.00	0.00	2	J54213	2/21/2019	5.00														
1	15TSY32MR	Estabilidade Dimensional DT	3.00	3.00	3.00	0.00	1	J54207	2/20/2019	3.00	3.00	3.00												
1	15TSY32MR	Estabilidade Dimensional DT	3.00	3.00	3.00	0.00	2	J54213	2/21/2019	3.00														
1	15TSY32MR	Brilho 45°	102.00	104.00	103.33	1.15	1	J54207	2/20/2019	104.00	102.00	104.00												
1	15TSY32MR	Brilho 45°	102.00	103.00	102.33	0.58	2	J54213	2/21/2019	103.00	102.00	102.00												
1	15TSY32MR	Haze/difusão	1.20	1.30	1.27	0.06	1	J54207	2/20/2019	1.30	1.20	1.30												
1	15TSY32MR	Haze/difusão	1.40	1.50	1.47	0.06	2	J54213	2/21/2019	1.40	1.50	1.50												
1	15TSY32MR	Força de Selagem NT/NT	338.00	449.00	405.00	40.97	1	J54207	2/20/2019	417.00	338.00	404.00	449.00	417.00										
1	15TSY32MR	Força de Selagem NT/NT	298.00	426.00	373.40	63.07	2	J54209	2/20/2019	407.00	312.00	426.00	424.00	298.00										
1	15TSY32MR	Força de Selagem NT/NT	369.00	452.00	396.40	33.69	3	J54213	2/21/2019	452.00	369.00	371.00	390.00	400.00										
1	15TSY32MR	Força de Selagem NT/NT	321.00	388.00	348.00	30.68	4	J54216	2/21/2019	328.00	374.00	388.00	329.00	321.00										
1	15TSY32MR	Força de Selagem NT/NT	314.00	409.00	365.80	35.56	5	J54220	2/21/2019	367.00	385.00	354.00	314.00	409.00										
1	15TSY32MR	Força de Selagem NT/NT	335.00	576.00	447.00	100.85	6	J54222	2/21/2019	335.00	576.00	417.00	526.00	381.00										
1	15TSY32MR	Força de selagem COR/COR	342.00	514.00	441.00	63.75	1	J54207	2/20/2019	435.00	474.00	514.00	440.00	342.00										
1	15TSY32MR	Força de selagem COR/COR	492.00	756.00	576.60	104.36	2	J54209	2/20/2019	526.00	756.00	536.00	573.00	492.00										
1	15TSY32MR	Força de selagem COR/COR	364.00	433.00	395.60	29.69	3	J54213	2/21/2019	367.00	402.00	364.00	412.00	433.00										
1	15TSY32MR	Força de selagem COR/COR	323.00	562.00	460.40	89.05	4	J54216	2/21/2019	562.00	492.00	323.00	490.00	435.00										
1	15TSY32MR	Força de selagem COR/COR	366.00	516.00	423.20	56.93	5	J54220	2/21/2019	516.00	366.00	414.00	392.00	428.00										
1	15TSY32MR	Força de selagem COR/COR	419.00	483.00	444.00	26.08	6	J54222	2/21/2019	421.00	419.00	483.00	450.00	447.00										
1	15TSY32MR	COF NT/NT - din - 24h	0.18	0.19	0.18	0.01	1	J54207	2/20/2019	0.19	0.18	0.18												
1	15TSY32MR	COF COR/COR - din. - 24h	0.18	0.18	0.18	0.00	1	J54207	2/20/2019	0.18	0.18	0.18												
1	15TSY32MR	Tensão superficial CORONA LO	40.00	40.00	40.00	0.00	1	J54207	2/20/2019	40.00														
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	2	J54208	2/20/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	3	J54209	2/20/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LO	40.00	40.00	40.00	0.00	4	J54210	2/20/2019	40.00														
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	5	J54211	2/20/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	6	J54213	2/21/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	7	J54214	2/21/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	8	J54215	2/21/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	9	J54216	2/21/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	10	J54218	2/21/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	11	J54219	2/21/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	12	J54220	2/21/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	13	J54221	2/21/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	14	J54222	2/21/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	15	J54223	2/21/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	16	J54224	2/21/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	17	J54225	2/22/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	1	J54207	2/20/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	2	J54208	2/20/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	3	J54209	2/20/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	4	J54210	2/20/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	5	J54211	2/20/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	6	J54213	2/21/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	7	J54214	2/21/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	8	J54215	2/21/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	9	J54216	2/21/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	10	J54218	2/21/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	11	J54219	2/21/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	12	J54220	2/21/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	13	J54221	2/21/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	14	J54222	2/21/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	15	J54223	2/21/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	16	J54224	2/21/2019	38.00														
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	17	J54225	2/22/2019	38.00														
1	15TSY32MR	Tensão superf. COR prod final	38.00	38.00	38.00	0.00	1	J54208	2/20/2019	38.00	38.00	38.00												
1	17EP 440/32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	1	J53992	2/1/2019	40.00	40.00	40.00	40.00	40.00										
1	17EP 440/32MR	Tratamento Superficial CORONA	40.00	42.00	41.20	1.10	2	J53993	2/1/2019	42.00	42.00	40.00	42.00	40.00										
1	17EP 440/32MR	Tratamento Superficial CORONA	40.00	42.00	40.80	1.10	3	J53994	2/1/2019	40.00	40.00	40.00	42.00	42.00										
1	17EP 440/32MR	Espessura	16.60	16.60	16.60	0.00	1	J53992	2/1/2019	16.60														
1	17EP 440/32MR	Espessura	17.00	17.00	17.00	0.00	2	J53993	2/1/2019	17.00														
1	17EP 440/32MR	Espessura	17.00	17.00	17.00	0.00	3	J53994	2/1/2019	17.00														
1	17EP 440/32MR	Gramatura	15.00	15.00	15.00	0.00	1	J53992	2/1/2019	15.00														
1	17EP 440/32MR	Gramatura	15.40	15.40	15.40	0.00	2	J53993	2/1/2019	15.40														
1	17EP 440/32MR	Gramatura	15.40	15.40	15.40	0.00	3	J53994	2/1/2019	15.40														
1	17EP 440/32MR	Rendimento	66.70	66.70	66.70	0.00	1	J53992	2/1/2019	66.70														
1	17EP 440/32MR	Densidade	0.90	0.90	0.90	0.00	1	J53992	2/1/2019	0.90														
1	17EP 440/32MR	COF NT/NT - DIN. Imediato	0.20	0.28	0.24	0.04	1	J53992	2/1/2019	0.28	0.22	0.20	0.23	0.28										
1	17EP 440/32MR	COF NT/NT - DIN. Imediato	0.22	0.27	0.24	0.02	2	J53993	2/1/2019	0.27	0.24	0.22	0.24	0.24										
1	17EP 440/32MR	COF NT/NT - DIN. Imediato	0.22	0.27	0.24	0.02	3	J53994	2/1/2019	0.27	0.23	0.23	0.22	0.26										
1	17EP 440/32MR	COF COR/COR - Din. - Imediato	0.32	0.51	0.45	0.08	1	J53992	2/1/2019	0.50	0.51	0.43	0.32	0.48										
1	17EP 440/32MR	COF COR/COR - Din. - Imediato	0.37	0.52	0.44	0.07	2	J53993	2/1/2019	0.52	0.39	0.37	0.41	0.51										
1	17EP 440/32MR	COF COR/COR - Din. - Imediato	0.38	0.48	0.43	0.04	3	J53994	2/1/2019	0.45	0.48	0.38	0.42	0.40										
1	17EP 440/32MR	COF NT/NT - Est. Imediato	0.28	0.62	0.39	0.14	1	J53992	2/1/2019	0.62	0.28	0.34	0.29	0.40										
1	17EP 440/32MR	COF NT/NT - Est. Imediato	0.30	0.44	0.34	0.06	2	J53993	2/1/2019	0.44	0.35	0.30	0.32	0.31										
1	17EP 440/32MR	COF NT/NT - Est. Imediato	0.31	0.42	0.34	0.04	3	J53994	2/1/2019	0.42	0.32	0.31	0.32	0.34										
1	17EP 440/32MR	COF COR/COR - Est. - Imediato	0.41	0.59	0.54	0.08	1	J53992	2/1/2019	0.59	0.58	0.51	0.41	0.59										
1	17EP 440/32MR	COF COR/COR - Est. - Imediato	0.47	0.67	0.55	0.08	2	J53993	2/1/2019	0.58	0.47	0.54	0.49	0.67										
1	17EP 440/32MR	COF COR/COR - Est. - Imediato	0.50	0.58	0.54	0.04	3	J53994	2/1/2019	0.57	0.58	0.50	0.51	0.52										
1	17EP 440/32MR	COF NT/NT - Din.	0.24	0.27	0.25	0.02	1	J53992	2/1/2019	0.27	0.25	0.24												
1	17EP 440/32MR	COF COR/COR - Din.	0.36	0.43	0.39	0.04	1	J53992	2/1/2019	0.43	0.39	0.36												
1	17EP 440/32MR	COF  NT/NT - Est.	0.29	0.38	0.32	0.05	1	J53992	2/1/2019	0.38	0.29	0.29												
1	17EP 440/32MR	COF COR/COR - Est.	0.44	0.50	0.47	0.03	1	J53992	2/1/2019	0.50	0.44	0.47												
1	17EP 440/32MR	Força de Tração DM	132.00	150.00	142.67	9.45	1	J53992	2/1/2019	132.00	146.00	150.00												
1	17EP 440/32MR	Força de Tração DT	234.00	270.00	247.33	19.73	1	J53992	2/1/2019	238.00	270.00	234.00												
1	17EP 440/32MR	Alongamento DM	150.00	197.00	179.00	25.36	1	J53992	2/1/2019	150.00	197.00	190.00												
1	17EP 440/32MR	Alongamento DT	35.00	53.00	41.67	9.87	1	J53992	2/1/2019	37.00	53.00	35.00												
1	17EP 440/32MR	Módulo Elástico DM	1138.00	1316.00	1243.33	93.39	1	J53992	2/1/2019	1316.00	1138.00	1276.00												
1	17EP 440/32MR	Módulo Elástico DT	2391.00	2760.00	2548.67	190.26	1	J53992	2/1/2019	2760.00	2391.00	2495.00												
1	17EP 440/32MR	Estabilidade Dimensional DM	5.00	5.00	5.00	0.00	1	J53992	2/1/2019	5.00														
1	17EP 440/32MR	Estabilidade Dimensional DT	3.00	3.00	3.00	0.00	1	J53992	2/1/2019	3.00														
1	17EP 440/32MR	Brilho 45°	103.00	104.00	103.33	0.58	1	J53992	2/1/2019	103.00	104.00	103.00												
1	17EP 440/32MR	Haze/difusão	1.40	1.60	1.47	0.12	1	J53992	2/1/2019	1.40	1.60	1.40												
1	17EP 440/32MR	Força de Selagem NT/NT	324.00	424.00	390.33	57.45	1	J53992	2/1/2019	324.00	424.00	423.00												
1	17EP 440/32MR	Força de selagem COR/COR	336.00	526.00	436.33	95.45	1	J53992	2/1/2019	336.00	526.00	447.00												
1	17EP 440/32MR	Tensão superficial CORONA LO	40.00	40.00	40.00	0.00	1	J53992	2/1/2019	40.00														
1	17EP 440/32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	2	J53993	2/1/2019	38.00														
1	17EP 440/32MR	Tensão superficial CORONA LO	40.00	40.00	40.00	0.00	3	J53994	2/1/2019	40.00														
1	17EP 440/32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	1	J53992	2/1/2019	38.00														
1	17EP 440/32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	2	J53993	2/1/2019	38.00														
1	17EP 440/32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	3	J53994	2/1/2019	38.00														
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.60	0.89	1	J54040	2/6/2019	40.00	42.00	42.00	42.00	42.00										
1	17TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.20	1.10	2	J54041	2/6/2019	38.00	40.00	40.00	40.00	38.00										
1	17TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.60	0.89	3	J54042	2/6/2019	40.00	40.00	40.00	40.00	38.00										
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	4	J54043	2/6/2019	40.00	40.00	40.00	40.00	40.00										
1	17TSY32MR	Tratamento Superficial CORONA	40.00	44.00	42.00	1.41	5	J54044	2/6/2019	40.00	42.00	42.00	42.00	44.00										
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	6	J54045	2/6/2019	40.00	40.00	40.00	40.00	40.00										
1	17TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.60	0.89	7	J54046	2/6/2019	38.00	40.00	40.00	40.00	40.00										
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	8	J54047	2/6/2019	40.00	40.00	40.00	40.00	40.00										
1	17TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.20	1.10	9	J54048	2/6/2019	38.00	40.00	40.00	40.00	38.00										
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	10	J54049	2/6/2019	40.00	40.00	40.00	40.00	40.00										
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	11	J54050	2/6/2019	40.00	40.00	40.00	40.00	40.00										
1	17TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.20	1.10	12	J54051	2/6/2019	40.00	38.00	38.00	40.00	40.00										
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.80	1.10	13	J54052	2/7/2019	40.00	40.00	40.00	42.00	42.00										
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	14	J54053	2/7/2019	40.00	40.00	40.00	40.00	40.00										
1	17TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.60	0.89	15	J54054	2/7/2019	38.00	40.00	40.00	40.00	40.00										
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	16	J54055	2/7/2019	40.00	40.00	40.00	40.00	40.00										
1	17TSY32MR	Tratamento Superficial CORONA	38.00	40.00	38.40	0.89	17	J54056	2/7/2019	38.00	38.00	38.00	40.00	38.00										
